model,accuracy,precision,recall,f1,cv_mean,cv_std
RandomForest,0.8479136849058682,0.8572814470154594,0.8479136849058682,0.8496199560631349,0.8032618506354539,0.13143353137903854
XGBoost,0.8686337113288561,0.8723087008599921,0.8686337113288561,0.8695912766210038,0.7384196557341178,0.19116474026652375
LightGBM,0.8740284047120995,0.8756075800861262,0.8740284047120995,0.8745551790453303,0.7810188125406858,0.12663575332853347
CatBoost,0.8611692172189805,0.8655340262635476,0.8611692172189805,0.8622192107614803,0.6831748420987006,0.28308738925214705
